title,published_date,section,url,abstract,des_facet,org_facet,per_facet,geo_facet
‘Melania’ and the Missing First Lady,2026-02-06,Movies,https://www.nytimes.com/2026/02/06/movies/melania-documentary-nancy-reagan.html,"The documentary highlights a few notable predecessors in the role, burnishing Mrs. Trump’s image by extension. But one apt comparison is pointedly left out.","United States Politics and Government, Documentary Films and Programs",,"Nancy Reagan, Melania Trump",
JD Vance Is Booed at Olympic Opening Ceremony in Milan,2026-02-06,World,https://www.nytimes.com/2026/02/06/world/europe/jd-vance-olympics-opening-ceremony.html,"Before the event, protesters marched in Milan in opposition to U.S. Immigration and Customs Enforcement, whose personnel are in Italy to advise local officials in securing the Winter Games.","Olympic Games (2026), United States International Relations, Polls and Public Opinion, Demonstrations, Protests and Riots",,"J D Vance, Usha Vance","Milan (Italy), Italy"
Reaction to Trump’s Racist Post Shows He Is Not Always Immune to Politics,2026-02-07,U.S.,https://www.nytimes.com/2026/02/07/us/politics/trump-social-post-reaction.html,"With the midterm elections nearing, President Trump has found himself in the uncomfortable position of backtracking, even if only by degrees, at key moments.","Black People, Discrimination, United States Politics and Government, Polls and Public Opinion",Republican Party,Donald J Trump,
Whistle-Blower Report Involved Intelligence About a Trump Contact,2026-02-07,U.S.,https://www.nytimes.com/2026/02/07/us/politics/whistle-blower-gabbard-trump.html,"Tulsi Gabbard, the director of national intelligence, moved to lock down an intelligence intercept that referred to someone close to President Trump, the report said.","United States Politics and Government, Whistle-Blowers, Classified Information and State Secrets, Espionage and Intelligence Services",National Security Agency,"Tulsi (1981- ) Gabbard, Donald J Trump, Susie Wiles",
Mexican Cartels Overwhelm Police With Ammunition Made for the U.S. Military,2026-02-07,U.S.,https://www.nytimes.com/2026/02/07/us/lake-city-army-ammunition-plant-missouri-mexico.html,"Drug syndicates have used .50-caliber ammunition, produced at a plant owned by the U.S. Army and then smuggled across the border, in attacks on Mexican civilians and police.","Arms Trade, United States Defense and Military Forces, Drug Cartels, Smuggling, Firearms, Government Contracts and Procurement","Bureau of Alcohol, Tobacco, Firearms and Explosives, Lake City Army Ammunition Plant, United States Army, Northrop Grumman Corporation",,Mexico
"Flashback: Your Weekly History Quiz, Feb. 7, 2026",2026-02-06,The Upshot,https://www.nytimes.com/interactive/2026/02/06/upshot/flashback.html,Can you sort 8 historical events?,"internal-disable-fab, Content Type: Quiz",,,
"Savannah Guthrie, in New Video Message, Promises to Pay for Return of Her Mother",2026-02-07,U.S.,https://www.nytimes.com/2026/02/07/us/savannah-guthrie-nancy-guthrie-video-message.html,"The “Today” show anchor, in a message on social media with her siblings, said the return of their mother Nancy “is the only way we will have peace.”","Kidnapping and Hostages, Missing Persons",,"Nancy (1942- ) Guthrie, Savannah Guthrie",Tucson (Ariz)
They Used to Rule the West. Now They’re Dying.,2026-02-07,Opinion,https://www.nytimes.com/2026/02/07/opinion/political-parties-west-hyperpolitics.html,The decline of traditional political parties is the precondition for our hyperpolitical age.,United States Politics and Government,"Republican Party, Conservative Party (Great Britain), Reform Party","Donald J Trump, Nigel (1964- ) Farage, Niccolo Machiavelli, Silvio Berlusconi","Great Britain, Italy"
Fake Post About Racist Video Looked to Be Trump’s on Truth Social,2026-02-07,Business,https://www.nytimes.com/2026/02/07/business/trump-truth-social-fake-post-obamas.html,"The post, which spread widely, appeared to describe the president’s rationale for deleting a racist video about the Obamas that he had shared.","United States Politics and Government, Social Media, Race and Ethnicity, Fringe Groups and Movements",Truth Social (Social Network),"Barack Obama, Michelle Obama, Donald J Trump",
Now We Know What All Those People Got From Epstein,2026-02-07,Opinion,https://www.nytimes.com/2026/02/07/opinion/epstein-files-gifts-rich.html,He knew how to give self-important people what they thought they deserved.,"United States Politics and Government, Human Trafficking, Sex Crimes, High Net Worth Individuals, Sex","Justice Department, Paul Weiss Rifkind Wharton & Garrison","Woody Allen, Stephen K Bannon, Noam Chomsky, Bill Clinton, Jeffrey E (1953- ) Epstein, Virginia Roberts Giuffre, Howard W Lutnick, Michael (1953- ) Wolff",
